Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,4/23/20 16:38,Cherry Hill Running,4.0,372,0:30:22,139,160,168,176,7:36,6:45,118,124,1.26,07:23.3,4,59,42195,12632,41.845489366524205
Running,4/21/20 17:10,Cherry Hill Running,4.12,391,0:31:25,142,161,170,176,7:37,6:07,171,177,1.24,00:55.2,5,308,42195,12632,82.99449677781266
Running,4/20/20 17:46,Cherry Hill Running,6.0,614,0:44:42,151,166,170,176,7:27,6:40,214,208,1.27,00:01.8,7,457,42195,12632,67.65512451387295
Running,4/19/20 16:48,Cherry Hill Running,3.19,317,0:24:30,143,152,170,176,7:42,6:29,93,98,1.23,01:29.2,4,440,42195,12632,64.72908739084268
Running,4/17/20 17:20,Cherry Hill Running,3.02,294,0:22:16,145,157,172,178,7:23,6:25,113,106,1.27,00:06.9,4,397,42195,12632,23.999358722409447
Running,4/16/20 17:34,Cherry Hill Running,4.33,377,0:30:44,141,151,172,188,7:06,5:26,146,150,1.31,02:05.7,5,628,42195,12632,41.80043931574649
Running,4/15/20 14:58,Cherry Hill Running,3.04,289,0:22:59,144,168,170,176,7:33,6:40,97,103,1.26,00:19.8,4,351,42195,12632,85.87014350131318
Running,4/14/20 17:22,Cherry Hill Running,5.09,489,0:36:46,155,173,170,178,7:14,5:13,135,139,1.32,00:30.8,6,625,42195,12632,94.11111921487803
Running,4/12/20 11:02,Cherry Hill Running,6.01,608,0:46:31,152,170,168,174,7:45,6:48,191,186,1.24,00:02.6,7,280,42195,12632,32.912509353472494
Running,4/10/20 16:56,Cherry Hill Running,3.01,284,0:23:14,143,152,170,180,7:44,5:50,112,118,1.23,00:02.9,4,246,42195,12632,69.48615667266557
Running,4/9/20 18:01,Cherry Hill Running,3.3,306,0:25:19,144,158,172,180,7:41,6:25,100,107,1.22,02:13.6,4,448,42195,12632,93.30164892621838
Running,4/8/20 16:18,Cherry Hill Running,4.0,409,0:31:37,151,162,170,178,7:54,7:04,132,135,1.2,00:01.4,5,47,42195,12632,34.61010280879937
Running,4/7/20 17:30,Cherry Hill Running,4.42,437,0:33:54,151,162,168,174,7:40,4:01,188,173,1.25,03:20.0,5,636,42195,12632,58.59296103558053
Running,4/4/20 16:27,Cherry Hill Running,5.42,540,0:42:58,148,173,170,178,7:56,5:36,174,181,1.19,03:06.1,6,376,42195,12632,37.62576350830421
